wkt_geom,mindate,maxdate,latitude,longitude,altitude,crop,intercrop,sampleID,LC,CT,IRR,valtime
Point (11.53229999999999933 4.46309999999999985),03/06/2017,03/06/2017,4.4631,11.5323,444,maize,no,2017_CM_GARDIAN-62_POINT_110214,11,1200,0,03/06/2017
Point (12.29573000000000071 3.86220000000000008),04/06/2017,04/06/2017,3.8622,12.29573,671,maize,manioc/arachide/tomate/macabo,2017_CM_GARDIAN-62_POINT_110215,11,9998,0,04/06/2017
Point (13.61357000000000106 4.5136099999999999),04/06/2017,04/06/2017,4.51361,13.61357,659,maize,no,2017_CM_GARDIAN-62_POINT_110216,11,1200,0,04/06/2017
Point (13.61524999999999963 4.54096000000000011),05/06/2017,05/06/2017,4.54096,13.61525,669,maize,no,2017_CM_GARDIAN-62_POINT_110217,11,1200,0,05/06/2017
Point (13.65998999999999874 4.57272999999999996),05/06/2017,05/06/2017,4.57273,13.65999,668,maize,plamier.manioc.gombo.arachide,2017_CM_GARDIAN-62_POINT_110218,11,9998,0,05/06/2017
Point (13.70842000000000205 4.57985000000000042),05/06/2017,05/06/2017,4.57985,13.70842,703,maize,manioc,2017_CM_GARDIAN-62_POINT_110219,11,9998,0,05/06/2017
Point (13.7506200000000014 4.59473999999999982),05/06/2017,05/06/2017,4.59474,13.75062,699,maize,-,2017_CM_GARDIAN-62_POINT_110220,11,1200,0,05/06/2017
Point (14.2788200000000014 5.50490999999999975),05/06/2017,05/06/2017,5.50491,14.27882,935,maize,legume.plantain,2017_CM_GARDIAN-62_POINT_110221,11,9998,0,05/06/2017
Point (14.27837000000000067 5.50403999999999982),05/06/2017,05/06/2017,5.50404,14.27837,942,maize,no,2017_CM_GARDIAN-62_POINT_110222,11,1200,0,05/06/2017
Point (14.35679999999999978 5.61667000000000005),05/06/2017,05/06/2017,5.61667,14.3568,915,maize,no,2017_CM_GARDIAN-62_POINT_110223,11,1200,0,05/06/2017
Point (14.50513999999999903 5.89313999999999982),05/06/2017,05/06/2017,5.89314,14.50514,1012,maize,no,2017_CM_GARDIAN-62_POINT_110224,11,1200,0,05/06/2017
Point (14.47678999999999938 5.9094199999999999),05/06/2017,05/06/2017,5.90942,14.47679,986,maize,maniocarachide,2017_CM_GARDIAN-62_POINT_110225,11,9998,0,05/06/2017
Point (14.28909999999999947 6.51989999999999981),06/06/2017,06/06/2017,6.5199,14.2891,993,maize,no,2017_CM_GARDIAN-62_POINT_110226,11,1200,0,06/06/2017
Point (14.28284999999999982 6.52255999999999947),06/06/2017,06/06/2017,6.52256,14.28285,1048,maize,arachide/gombo,2017_CM_GARDIAN-62_POINT_110227,11,9998,0,06/06/2017
Point (14.27526000000000117 6.51326999999999945),07/06/2017,07/06/2017,6.51327,14.27526,1008,maize,arachide/legumes,2017_CM_GARDIAN-62_POINT_110228,11,9998,0,07/06/2017
Point (14.26593999999999873 6.48341000000000012),07/06/2017,07/06/2017,6.48341,14.26594,970,maize,plantain/arachide,2017_CM_GARDIAN-62_POINT_110229,11,9998,0,07/06/2017
Point (14.27396000000000065 6.45378000000000007),08/06/2017,08/06/2017,6.45378,14.27396,990,maize,haricot/manioc/arachide,2017_CM_GARDIAN-62_POINT_110230,11,9998,0,08/06/2017
Point (10.55441000000000074 5.4843800000000007),30/05/2017,30/05/2017,5.48438,10.55441,1012,maize,ageratumconizoides/elephantgrass,2017_CM_GARDIAN-62_POINT_110231,11,9998,0,30/05/2017
Point (10.55289999999999928 5.48338999999999999),30/05/2017,30/05/2017,5.48339,10.5529,1005,maize,ageratumconizoides,2017_CM_GARDIAN-62_POINT_110232,11,9998,0,30/05/2017
Point (10.60784999999999911 5.49293000000000031),30/05/2017,30/05/2017,5.49293,10.60785,1038,maize,-,2017_CM_GARDIAN-62_POINT_110233,11,1200,0,30/05/2017
